,decision_id,type of insurance,premium/payment,service attitude/communication,fail to meet customer's expectations,claims processing delays,policy terms,gender,location,title,date,company,decision,extras,tag
1532,DRN-4648174,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4648174.pdf,Decision Reference DRN-4648174,15-Mar-24,Atlanta Insurance Intermediaries Limited,Not upheld,,Insurance
1533,DRN-4654172,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4654172.pdf,Decision Reference DRN-4654172,15-Mar-24,AXA Insurance UK Plc,Upheld,,Insurance
1534,DRN-4686798,Motor,Yes,Yes,Yes,No,No,Male,decision/DRN-4686798.pdf,Decision Reference DRN-4686798,15-Mar-24,AXA Insurance UK Plc,Upheld,,Insurance
1535,DRN-4686818,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4686818.pdf,Decision Reference DRN-4686818,15-Mar-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
1536,DRN-4685799,Whole of life assurance policy,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4685799.pdf,Decision Reference DRN-4685799,15-Mar-24,The Prudential Assurance Company Limited,Upheld,,Insurance
1537,DRN-4629441,Household and Commercial Property,No,Yes,Yes,Yes,No,Male and Female,decision/DRN-4629441.pdf,Decision Reference DRN-4629441,15-Mar-24,Gresham Insurance Company Limited,Upheld,,Insurance
1538,DRN-4686604,Motor,No,No,Yes,No,Yes,Male,decision/DRN-4686604.pdf,Decision Reference DRN-4686604,15-Mar-24,Watford Insurance Company Europe Limited,Upheld,,Insurance
1539,DRN-4488552,Household and Commercial Property,No,Yes,Yes,No,No,Male,decision/DRN-4488552.pdf,Decision Reference DRN-4488552,15-Mar-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
1540,DRN-4641601,Household and Commercial Property,Yes,No,Yes,No,Yes,Male,decision/DRN-4641601.pdf,Decision Reference DRN-4641601,15-Mar-24,Zurich Insurance PLC,Not upheld,,Insurance
1541,DRN-4598462,Household and Commercial Property,No,No,Yes,No,Yes,Female,decision/DRN-4598462.pdf,Decision Reference DRN-4598462,15-Mar-24,Domestic & General Insurance Plc,Not upheld,,Insurance
1542,DRN-4626977,Motor,No,Yes,Yes,Yes,No,Female,decision/DRN-4626977.pdf,Decision Reference DRN-4626977,15-Mar-24,West Bay Insurance Plc,Upheld,,Insurance
1543,DRN-4617459,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4617459.pdf,Decision Reference DRN-4617459,15-Mar-24,One Insurance Limited,Upheld,,Insurance
1544,DRN-4625696,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4625696.pdf,Decision Reference DRN-4625696,15-Mar-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
1545,DRN-4623061,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,decision/DRN-4623061.pdf,Decision Reference DRN-4623061,15-Mar-24,AXA PPP Healthcare Limited,Not upheld,,Insurance
1546,DRN-4604355,Motor,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4604355.pdf,Decision Reference DRN-4604355,15-Mar-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
1547,DRN-4656830,Travel,No,Yes,Yes,No,Yes,Female,decision/DRN-4656830.pdf,Decision Reference DRN-4656830,15-Mar-24,AWP P&C S.A.,Not upheld,,Insurance
1548,DRN-4617607,Motor,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4617607.pdf,Decision Reference DRN-4617607,15-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1549,DRN-4584659,Motor,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4584659.pdf,Decision Reference DRN-4584659,15-Mar-24,Collingwood Insurance Company Ltd,Upheld,,Insurance
1550,DRN-4636727,Health,No,Yes,Yes,No,Yes,Female,decision/DRN-4636727.pdf,Decision Reference DRN-4636727,15-Mar-24,Health Shield Friendly Society Limited,Not upheld,,Insurance
1551,DRN-4570139,Motor,Yes,Yes,Yes,Yes,Yes,Male,decision/DRN-4570139.pdf,Decision Reference DRN-4570139,15-Mar-24,esure Insurance Limited,Not upheld,,Insurance
1552,DRN-4629436,Motor,Yes,No,Yes,No,Yes,Male,decision/DRN-4629436.pdf,Decision Reference DRN-4629436,15-Mar-24,Aioi Nissay Dowa Insurance UK Limited,Upheld,,Insurance
1553,DRN-4685709,Motor,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4685709.pdf,Decision Reference DRN-4685709,15-Mar-24,Marshmallow Insurance Limited,Upheld,,Insurance
1554,DRN-4574658,Motor,Yes,No,Yes,No,No,Male,decision/DRN-4574658.pdf,Decision Reference DRN-4574658,15-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1555,DRN-4685798,Motor,No,Yes,Yes,No,No,Male and Female,decision/DRN-4685798.pdf,Decision Reference DRN-4685798,15-Mar-24,Automobile Association Insurance Services Limited,Not upheld,,Insurance
1556,DRN-4597802,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4597802.pdf,Decision Reference DRN-4597802,15-Mar-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
1557,DRN-4685756,Animal,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4685756.pdf,Decision Reference DRN-4685756,15-Mar-24,Covea Insurance plc,Upheld,,Insurance
1558,DRN-4644187,Motor,No,No,Yes,Yes,No,Male,decision/DRN-4644187.pdf,Decision Reference DRN-4644187,15-Mar-24,Liverpool Victoria Insurance Company Limited,Not upheld,,Insurance
1559,DRN-4316456,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4316456.pdf,Decision Reference DRN-4316456,15-Mar-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
1560,DRN-4679160,Health,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4679160.pdf,Decision Reference DRN-4679160,15-Mar-24,Lloyd & Whyte Ltd,Upheld,,Insurance
1561,DRN-4624208,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4624208.pdf,Decision Reference DRN-4624208,15-Mar-24,esure Insurance Limited,Upheld,,Insurance
1562,DRN-4576548,Household and Commercial Property,No,No,Yes,No,Yes,Female,decision/DRN-4576548.pdf,Decision Reference DRN-4576548,14-Mar-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
1563,DRN-4377498,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4377498.pdf,Decision Reference DRN-4377498,14-Mar-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
1564,DRN-4660600,Personal Belongings,No,Yes,Yes,No,Yes,Male,decision/DRN-4660600.pdf,Decision Reference DRN-4660600,14-Mar-24,AWP P&C S.A.,Upheld,,Insurance
1565,DRN-4683430,Personal Belongings,Yes,No,Yes,No,Yes,Male,decision/DRN-4683430.pdf,Decision Reference DRN-4683430,14-Mar-24,Motors Insurance Company Limited,Upheld,,Insurance
1566,DRN-4682041,Legal Expenses and Monetary Loss,No,No,Yes,No,Yes,Male,decision/DRN-4682041.pdf,Decision Reference DRN-4682041,14-Mar-24,Alwyn Insurance Company Limited,Not upheld,,Insurance
1567,DRN-4678432,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4678432.pdf,Decision Reference DRN-4678432,14-Mar-24,HCC International Insurance Company Plc,Upheld,,Insurance
1568,DRN-4680720,Critical Illness,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4680720.pdf,Decision Reference DRN-4680720,14-Mar-24,Legal and General Assurance Society Limited,Not upheld,,Insurance
1569,DRN-4648965,Household and Commercial Property,No,Yes,Yes,Yes,No,Female,decision/DRN-4648965.pdf,Decision Reference DRN-4648965,14-Mar-24,AXA Insurance UK Plc,Not upheld,,Insurance
1570,DRN-4583885,Motor,No,Yes,Yes,Yes,No,Female,decision/DRN-4583885.pdf,Decision Reference DRN-4583885,14-Mar-24,Liverpool Victoria Insurance Company Limited,Upheld,,Insurance
1571,DRN-4676502,Household and Commercial Property,Yes,Yes,Yes,No,No,Female,decision/DRN-4676502.pdf,Decision Reference DRN-4676502,14-Mar-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
1572,DRN-4565617,Motor,No,No,Yes,No,Yes,Male,decision/DRN-4565617.pdf,Decision Reference DRN-4565617,14-Mar-24,One Insurance Limited,Upheld,,Insurance
1573,DRN-4479085,Household and Commercial Property,No,Yes,Yes,Yes,No,Male and Female,decision/DRN-4479085.pdf,Decision Reference DRN-4479085,14-Mar-24,Covea Insurance plc,Upheld,,Insurance
1574,DRN-4684487,Motor,No,No,Yes,No,Yes,Female,decision/DRN-4684487.pdf,Decision Reference DRN-4684487,14-Mar-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
1575,DRN-4676274,Animal,No,No,Yes,No,Yes,Female,decision/DRN-4676274.pdf,Decision Reference DRN-4676274,14-Mar-24,Allianz Insurance Plc,Not upheld,,Insurance
1576,DRN-4612053,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4612053.pdf,Decision Reference DRN-4612053,14-Mar-24,Accredited Insurance (Europe) Ltd,Not upheld,,Insurance
1577,DRN-4674255,Motor,Yes,Yes,Yes,Yes,No,Female,decision/DRN-4674255.pdf,Decision Reference DRN-4674255,14-Mar-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
1578,DRN-4572459,Household and Commercial Property,Yes,Yes,Yes,No,Yes,Male and Female,decision/DRN-4572459.pdf,Decision Reference DRN-4572459,14-Mar-24,Arthur J. Gallagher (UK) Ltd,Upheld,,Insurance
1579,DRN-4679267,Animal,Yes,No,Yes,No,No,Female,decision/DRN-4679267.pdf,Decision Reference DRN-4679267,14-Mar-24,Allianz Insurance Plc,Not upheld,,Insurance
1580,DRN-4595635,Household and Commercial Property,Yes,Yes,Yes,No,No,Female,decision/DRN-4595635.pdf,Decision Reference DRN-4595635,14-Mar-24,Ageas Insurance Limited,Not upheld,,Insurance
1581,DRN-4649908,Health,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4649908.pdf,Decision Reference DRN-4649908,14-Mar-24,Vitality Health Limited,Not upheld,,Insurance
1582,DRN-4526342,Personal Belongings,No,No,Yes,No,Yes,Male,decision/DRN-4526342.pdf,Decision Reference DRN-4526342,14-Mar-24,Astrenska Insurance Limited,Not upheld,,Insurance
1583,DRN-4676614,Animal,Yes,Yes,Yes,Yes,No,Male,decision/DRN-4676614.pdf,Decision Reference DRN-4676614,14-Mar-24,Great Lakes Insurance SE,Upheld,,Insurance
1584,DRN-4659432,Household and Commercial Property,Yes,No,Yes,No,Yes,Female,decision/DRN-4659432.pdf,Decision Reference DRN-4659432,14-Mar-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
1585,DRN-4681392,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4681392.pdf,Decision Reference DRN-4681392,14-Mar-24,Tesco Underwriting Limited,Not upheld,,Insurance
1586,DRN-4635199,Motor,No,Yes,Yes,No,No,Male,decision/DRN-4635199.pdf,Decision Reference DRN-4635199,14-Mar-24,Zurich Insurance PLC,Not upheld,,Insurance
1587,DRN-4637878,Animal,No,Yes,Yes,No,Yes,Female,decision/DRN-4637878.pdf,Decision Reference DRN-4637878,14-Mar-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
1588,DRN-4658307,Travel,No,No,Yes,No,Yes,Male,decision/DRN-4658307.pdf,Decision Reference DRN-4658307,14-Mar-24,Great Lakes Insurance UK Limited,Not upheld,,Insurance
1589,DRN-4682884,Household and Commercial Property,Yes,Yes,Yes,Yes,Yes,Female,decision/DRN-4682884.pdf,Decision Reference DRN-4682884,14-Mar-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
1590,DRN-4649587,Legal Expenses and Monetary Loss,No,Yes,Yes,Yes,No,Male,decision/DRN-4649587.pdf,Decision Reference DRN-4649587,14-Mar-24,Society of Lloyd's,Not upheld,,Insurance
1591,DRN-4648417,Motor,Yes,Yes,Yes,No,No,Male,decision/DRN-4648417.pdf,Decision Reference DRN-4648417,14-Mar-24,AXA Insurance Designated Activity Company,Not upheld,,Insurance
1592,DRN-4681064,Motor,No,Yes,Yes,No,No,Female,decision/DRN-4681064.pdf,Decision Reference DRN-4681064,14-Mar-24,AXA Insurance UK Plc,Upheld,,Insurance
1593,DRN-4660963,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4660963.pdf,Decision Reference DRN-4660963,14-Mar-24,Covea Insurance plc,Upheld,,Insurance
1594,DRN-4590049,Legal Expenses and Monetary Loss,No,Yes,Yes,No,Yes,Female,decision/DRN-4590049.pdf,Decision Reference DRN-4590049,14-Mar-24,Amtrust Europe Limited,Upheld,,Insurance
1595,DRN-4664384,Animal,No,No,Yes,No,Yes,Female,decision/DRN-4664384.pdf,Decision Reference DRN-4664384,14-Mar-24,Accelerant Insurance Europe SA/NV UK Branch,Upheld,,Insurance
1596,DRN-4596930,Personal Belongings,No,No,Yes,No,Yes,Female,decision/DRN-4596930.pdf,Decision Reference DRN-4596930,14-Mar-24,WDP Insurance Limited,Upheld,,Insurance
1597,DRN-4630568,Household and Commercial Property,Yes,Yes,Yes,No,No,Male,decision/DRN-4630568.pdf,Decision Reference DRN-4630568,14-Mar-24,Sure Wise Limited,Not upheld,,Insurance
1598,DRN-4644983,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4644983.pdf,Decision Reference DRN-4644983,13-Mar-24,Accredited Insurance (Europe) Ltd,Upheld,,Insurance
1599,DRN-4681811,Motor,Yes,Yes,Yes,Yes,Yes,Male,decision/DRN-4681811.pdf,Decision Reference DRN-4681811,13-Mar-24,Wakam,Upheld,,Insurance
1600,DRN-4679970,Motor,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4679970.pdf,Decision Reference DRN-4679970,13-Mar-24,Ageas Insurance Limited,Upheld,,Insurance
1601,DRN-4674513,Motor,No,Yes,Yes,Yes,No,Male,decision/DRN-4674513.pdf,Decision Reference DRN-4674513,13-Mar-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
1602,DRN-4602829,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4602829.pdf,Decision Reference DRN-4602829,13-Mar-24,Accredited Insurance (Europe) Ltd,Not upheld,,Insurance
1603,DRN-4646405,Animal,Yes,No,Yes,No,Yes,Male,decision/DRN-4646405.pdf,Decision Reference DRN-4646405,13-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1604,DRN-4597814,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4597814.pdf,Decision Reference DRN-4597814,13-Mar-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
1605,DRN-4676208,Health,Yes,Yes,Yes,Yes,Yes,Female,decision/DRN-4676208.pdf,Decision Reference DRN-4676208,13-Mar-24,CIGNA Life Insurance Company of Europe SA-NV,Upheld,,Insurance
1606,DRN-4637073,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4637073.pdf,Decision Reference DRN-4637073,13-Mar-24,Fairmead Insurance Limited,Not upheld,,Insurance
1607,DRN-4636030,Animal,No,Yes,Yes,No,Yes,Female,decision/DRN-4636030.pdf,Decision Reference DRN-4636030,13-Mar-24,Red Sands Insurance Company (Europe) Limited,Upheld,,Insurance
1608,DRN-4655382,Motor,No,Yes,Yes,Yes,No,Male,decision/DRN-4655382.pdf,Decision Reference DRN-4655382,13-Mar-24,Liverpool Victoria Insurance Company Limited,Upheld,,Insurance
1609,DRN-4677427,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4677427.pdf,Decision Reference DRN-4677427,13-Mar-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
1610,DRN-4627778,Household and Commercial Property,Yes,Yes,Yes,No,No,Male,decision/DRN-4627778.pdf,Decision Reference DRN-4627778,13-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1611,DRN-4681173,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4681173.pdf,Decision Reference DRN-4681173,13-Mar-24,Liverpool Victoria Insurance Company Limited,Upheld,,Insurance
1612,DRN-4597898,Legal Expenses and Monetary Loss,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4597898.pdf,Decision Reference DRN-4597898,13-Mar-24,Amtrust Europe Limited,Not upheld,,Insurance
1613,DRN-4680746,Travel,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4680746.pdf,Decision Reference DRN-4680746,13-Mar-24,Inter Partner Assistance SA,Upheld,,Insurance
1614,DRN-4680847,Life,Yes,Yes,Yes,No,Yes,Male and Female,decision/DRN-4680847.pdf,Decision Reference DRN-4680847,13-Mar-24,Aviva Life & Pensions UK Limited,Upheld,,Insurance
1615,DRN-4556130,Motor,No,Yes,Yes,No,No,Female,decision/DRN-4556130.pdf,Decision Reference DRN-4556130,13-Mar-24,Advantage Insurance Company Limited,Upheld,,Insurance
1616,DRN-4645272,Personal Accident,No,No,Yes,No,Yes,Female,decision/DRN-4645272.pdf,Decision Reference DRN-4645272,13-Mar-24,AXA France IARD,Not upheld,,Insurance
1617,DRN-4572931,Travel,No,Yes,Yes,Yes,No,Male and Female,decision/DRN-4572931.pdf,Decision Reference DRN-4572931,13-Mar-24,AXA PPP Healthcare Limited,Upheld,,Insurance
1618,DRN-4680545,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4680545.pdf,Decision Reference DRN-4680545,13-Mar-24,AXA Insurance UK Plc,Not upheld,,Insurance
1619,DRN-4669215,Travel,No,Yes,Yes,No,Yes,Male,decision/DRN-4669215.pdf,Decision Reference DRN-4669215,13-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1620,DRN-4680408,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4680408.pdf,Decision Reference DRN-4680408,13-Mar-24,AXA Insurance UK Plc,Not upheld,,Insurance
1621,DRN-4672871,Travel,No,No,Yes,No,Yes,Male,decision/DRN-4672871.pdf,Decision Reference DRN-4672871,13-Mar-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
1622,DRN-4598967,Motor,Yes,Yes,Yes,No,No,Male and Female,decision/DRN-4598967.pdf,Decision Reference DRN-4598967,13-Mar-24,Aviva Insurance Limited,Not upheld,,Insurance
1623,DRN-4660909,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4660909.pdf,Decision Reference DRN-4660909,13-Mar-24,Amtrust Europe Limited,Upheld,,Insurance
1624,DRN-4668366,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4668366.pdf,Decision Reference DRN-4668366,13-Mar-24,Highway Insurance Company Limited,Upheld,,Insurance
1625,DRN-4664455,Motor,Yes,No,Yes,Yes,No,Male,decision/DRN-4664455.pdf,Decision Reference DRN-4664455,13-Mar-24,esure Insurance Limited,Upheld,,Insurance
1626,DRN-4622490,Household and Commercial Property,Yes,No,Yes,No,Yes,Female,decision/DRN-4622490.pdf,Decision Reference DRN-4622490,13-Mar-24,Accredited Insurance (Europe) Ltd,Not upheld,,Insurance
1627,DRN-4654830,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4654830.pdf,Decision Reference DRN-4654830,13-Mar-24,Ageas Insurance Limited,Not upheld,,Insurance
1628,DRN-4610558,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4610558.pdf,Decision Reference DRN-4610558,13-Mar-24,AA Underwriting Insurance Company Limited,Upheld,,Insurance
1629,DRN-4638082,Health,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4638082.pdf,Decision Reference DRN-4638082,13-Mar-24,BUPA Insurance Limited,Upheld,,Insurance
1630,DRN-4632754,Household and Commercial Property,No,Yes,Yes,Yes,No,Male and Female,decision/DRN-4632754.pdf,Decision Reference DRN-4632754,12-Mar-24,UIA (Insurance) Limited,Upheld,,Insurance
1631,DRN-4666554,Health,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4666554.pdf,Decision Reference DRN-4666554,12-Mar-24,Society of Lloyd's,Not upheld,,Insurance
1632,DRN-4663735,Health,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4663735.pdf,Decision Reference DRN-4663735,12-Mar-24,Legal and General Assurance Society Limited,Not upheld,,Insurance
1633,DRN-4539372,Motor,No,No,Yes,No,Yes,Male,decision/DRN-4539372.pdf,Decision Reference DRN-4539372,12-Mar-24,Abbeyfields Services West Midlands Ltd,Not upheld,,Insurance
1634,DRN-4617881,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4617881.pdf,Decision Reference DRN-4617881,12-Mar-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
1635,DRN-4562672,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4562672.pdf,Decision Reference DRN-4562672,12-Mar-24,Aviva Insurance Limited,Upheld,,Insurance
1636,DRN-4600587,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4600587.pdf,Decision Reference DRN-4600587,12-Mar-24,Aviva Insurance Limited,Not upheld,,Insurance
1637,DRN-4596594,Household and Commercial Property,Yes,Yes,Yes,Yes,Yes,Male,decision/DRN-4596594.pdf,Decision Reference DRN-4596594,12-Mar-24,Zurich Insurance PLC,Upheld,,Insurance
1638,DRN-4526719,Household and Commercial Property,No,No,Yes,No,No,Female,decision/DRN-4526719.pdf,Decision Reference DRN-4526719,12-Mar-24,Aviva Insurance Limited,Not upheld,,Insurance
1639,DRN-4621772,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4621772.pdf,Decision Reference DRN-4621772,12-Mar-24,British Gas Insurance Limited,Not upheld,,Insurance
1640,DRN-4676993,Travel,No,No,Yes,No,Yes,Male and Female,decision/DRN-4676993.pdf,Decision Reference DRN-4676993,12-Mar-24,Barclays Bank UK PLC,Not upheld,,Insurance
1641,DRN-4661660,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4661660.pdf,Decision Reference DRN-4661660,12-Mar-24,AA Underwriting Insurance Company Limited,Upheld,,Insurance
1642,DRN-4677292,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4677292.pdf,Decision Reference DRN-4677292,12-Mar-24,Tesco Underwriting Limited,Upheld,,Insurance
1643,DRN-4677623,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4677623.pdf,Decision Reference DRN-4677623,12-Mar-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
1644,DRN-4644953,Household and Commercial Property,No,No,Yes,No,Yes,Not mentioned,decision/DRN-4644953.pdf,Decision Reference DRN-4644953,12-Mar-24,HCC International Insurance Company Plc,Upheld,,Insurance
1645,DRN-4635840,Payment Protection,Yes,Yes,Yes,Yes,Yes,Female,decision/DRN-4635840.pdf,Decision Reference DRN-4635840,12-Mar-24,Society of Lloyd's,Upheld,,Insurance
1646,DRN-4647236,Motor,No,Yes,Yes,No,No,Male,decision/DRN-4647236.pdf,Decision Reference DRN-4647236,12-Mar-24,esure Insurance Limited,Upheld,,Insurance
1647,DRN-4676929,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4676929.pdf,Decision Reference DRN-4676929,12-Mar-24,Tesco Underwriting Limited,Upheld,,Insurance
1648,DRN-4676796,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4676796.pdf,Decision Reference DRN-4676796,12-Mar-24,Aviva Insurance Limited,Upheld,,Insurance
1649,DRN-4675050,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4675050.pdf,Decision Reference DRN-4675050,12-Mar-24,Ageas Insurance Limited,Upheld,,Insurance
1650,DRN-4612329,Payment Protection,Yes,No,Yes,No,Yes,Male,decision/DRN-4612329.pdf,Decision Reference DRN-4612329,12-Mar-24,Legal and General Assurance Society Limited,Not upheld,,Insurance
1651,DRN-4676474,Household and Commercial Property,No,Yes,Yes,Yes,No,Male,decision/DRN-4676474.pdf,Decision Reference DRN-4676474,12-Mar-24,AXA Insurance UK Plc,Not upheld,,Insurance
1652,DRN-4676451,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4676451.pdf,Decision Reference DRN-4676451,12-Mar-24,One Insurance Limited,Upheld,,Insurance
1653,DRN-4676082,Motor,No,Yes,Yes,Yes,No,Female,decision/DRN-4676082.pdf,Decision Reference DRN-4676082,12-Mar-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
1654,DRN-4665622,Household and Commercial Property,No,Yes,Yes,No,No,Male,decision/DRN-4665622.pdf,Decision Reference DRN-4665622,12-Mar-24,National House-Building Council,Upheld,,Insurance
1655,DRN-4662335,Motor,Yes,Yes,Yes,No,No,Male,decision/DRN-4662335.pdf,Decision Reference DRN-4662335,12-Mar-24,Wakam,Not upheld,,Insurance
1656,DRN-4676124,Household and Commercial Property,No,No,Yes,No,Yes,Female,decision/DRN-4676124.pdf,Decision Reference DRN-4676124,12-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1657,DRN-4668470,Health,No,Yes,Yes,No,No,Male,decision/DRN-4668470.pdf,Decision Reference DRN-4668470,12-Mar-24,Vitality Health Limited,Not upheld,,Insurance
1658,DRN-4587203,Travel,No,Yes,Yes,No,Yes,Female,decision/DRN-4587203.pdf,Decision Reference DRN-4587203,12-Mar-24,U K Insurance Limited,Not upheld,,Insurance
1659,DRN-4670945,Travel,No,Yes,Yes,No,Yes,Female,decision/DRN-4670945.pdf,Decision Reference DRN-4670945,12-Mar-24,Astrenska Insurance Limited,Not upheld,,Insurance
1660,DRN-4585283,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4585283.pdf,Decision Reference DRN-4585283,11-Mar-24,Tesco Underwriting Limited,Upheld,,Insurance
1661,DRN-4671439,Household and Commercial Property,No,No,Yes,No,Yes,Female,decision/DRN-4671439.pdf,Decision Reference DRN-4671439,11-Mar-24,Fairmead Insurance Limited,Not upheld,,Insurance
1662,DRN-4667540,Animal,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4667540.pdf,Decision Reference DRN-4667540,11-Mar-24,Great Lakes Insurance SE,Upheld,,Insurance
1663,DRN-4675065,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4675065.pdf,Decision Reference DRN-4675065,11-Mar-24,AXA Insurance UK Plc,Upheld,,Insurance
1664,DRN-4646293,Health,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4646293.pdf,Decision Reference DRN-4646293,11-Mar-24,Zurich Assurance Ltd,Not upheld,,Insurance
1665,DRN-4571107,Health,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4571107.pdf,Decision Reference DRN-4571107,11-Mar-24,Vitality Health Limited,Not upheld,,Insurance
1666,DRN-4552130,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4552130.pdf,Decision Reference DRN-4552130,11-Mar-24,Wakam,Not upheld,,Insurance
1667,DRN-4661116,Household and Commercial Property,No,No,Yes,No,No,Male,decision/DRN-4661116.pdf,Decision Reference DRN-4661116,11-Mar-24,Liverpool Victoria Insurance Company Limited,Not upheld,,Insurance
1668,DRN-4632055,Household and Commercial Property,Yes,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4632055.pdf,Decision Reference DRN-4632055,11-Mar-24,Lloyds Bank General Insurance Limited,Not upheld,,Insurance
1669,DRN-4649915,Motor,Yes,No,Yes,No,No,Female,decision/DRN-4649915.pdf,Decision Reference DRN-4649915,11-Mar-24,Aioi Nissay Dowa Insurance UK Limited,Not upheld,,Insurance
1670,DRN-4603600,Motor,Yes,No,Yes,No,No,Male,decision/DRN-4603600.pdf,Decision Reference DRN-4603600,11-Mar-24,One Insurance Limited,Not upheld,,Insurance
